Last Name,First Name,Rank,adloc,Location,Link to Google Scholar Profile,Citations (All),h-index (All),i10-index (All),Citations (Since 2021),h-index (Since 2021),i10-index (Since 2021),Last Updated
Vela Garcia,Carlos,Assistant Professor,Research,Canyon,https://scholar.google.com/citations?user=WfJBiOAAAAAJ&hl=en,64,5,3,64,5,3,2026-09-24 20:44:22
Verhoef,Aart,Assistant Professor,Tenure-Track,College Station,https://scholar.google.com/citations?hl=en&user=WzRm0WIAAAAJ,4468,24,33,993,13,21,2026-09-24 20:44:28
Wang,Ying,Assistant Professor,Tenure-Track,College Station,https://scholar.google.com/citations?hl=en&user=rxXFB9EAAAAJ&view_op=list_works&sortby=pubdate,1165,16,20,821,16,18,2026-09-24 20:44:33
Wherley,Benjamin,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=4dQJ45YAAAAJ&hl=en&oi=ao,1327,20,45,745,15,31,2026-09-24 20:44:41
Wyatt,Briana,Associate Professor,Tenure-Track,College Station,https://scholar.google.com/citations?hl=en&user=rbg-HVAAAAAJ,607,15,19,579,15,19,2026-09-24 20:44:46
Xu,Wenwei,Professor,Research,Lubbock,https://scholar.google.com/citations?user=ySqciaEAAAAJ&hl=en&oi=ao,,,,,,,
Xue,Qingwu,Professor,Research,Canyon,https://scholar.google.com/citations?user=QzRRcfIAAAAJ&hl=en,6115,44,120,3233,32,98,2026-09-24 20:45:13
Yang,Yubin,Assistant Professor,Research,Beaumont,https://scholar.google.com/citations?hl=en&user=kLOKBgUAAAAJ,1032,20,31,518,13,18,2026-09-24 20:45:18
Zhang,Hongbin,Professor,Research,College Station,https://scholar.google.com/citations?user=ZpIaeJgAAAAJ&hl=en,12782,55,119,2470,22,42,2026-09-24 20:45:25
Zhang,Junli,Assistant Professor,Research,Canyon,https://scholar.google.com/citations?user=0ZZ8xGYAAAAJ&hl=en,1985,19,24,1402,19,22,2026-09-24 20:45:32
